EmployeeID,Name,Department,Age,Salary,PerformanceScore,JoinDate,MonthlySales
1001,Employee_1,engineering,29.0,77299.37516583537,6.8094170519629635,01-01-2018,49277.33
1002,Employee_2,Support,55.0,38845.027500343014,6.153682508193728,2018-01-05,
1003,Employee_3,HR,33.0,52047.13044297036,5.428975280733824,01-10-2018,49429.38
1004,Employee_4,Marketing,59.0,70026.78478019885,6.602587042822456,2018-01-15,20959.07
1005,Employee_5,Sales,,44309.879890587064,5.761842979787927,19/01/2018,29564.93
1006,Employee_6,Sales,52.0,27103.364062571185,5.279010855508178,01-24-2018,23737.13
1007,Employee_7,Sales,25.0,57166.370101665176,,29/01/2018,47043.58
1008,Employee_8,finance,26.0,101722.8590007826,8.588754891452677,02/02/2018,50711.55
1009,Employee_9,marketing,51.0,57565.84536395817,4.24390262075593,02-07-2018,37692.61
1010,Employee_10,HR,45.0,50562.985219403105,8.474838039392964,2018-02-12,26906.05
1011,Employee_11,Sales,24.0,76385.96342243295,5.911855687496329,02-16-2018,39703.76
1012,Employee_12,support,32.0,52083.29542874146,6.799107250951336,21/02/2018,32701.3
1013,Employee_13,Finance,25.0,72602.33244379525,7.637830482106789,26/02/2018,28057.44
1014,Employee_14,Sales,47.0,60305.39998376167,5.886699933991409,03-03-2018,45084.91
1015,Employee_15,sales,48.0,58002.92719088378,6.661046388193977,2018-03-07,28630.12
1016,Employee_16,sales,48.0,41322.94686211953,7.468919666891054,2018-03-12,16504.75
1017,Employee_17,Engg,27.0,73902.65810640363,6.041737387160081,17/03/2018,19838.28
1018,Employee_18,marketing,36.0,82641.93734549085,7.665422811786072,21/03/2018,15951.09
1019,Employee_19,Engineering,51.0,,3.5831519189124017,2018-03-26,43712.68
1020,Employee_20,Engg,58.0,91201.14531095637,4.659473886437485,03-31-2018,42256.08
1021,Employee_21,Marketing,58.0,58917.26803132548,7.516243593041292,04/04/2018,41507.8
1022,Employee_22,sales,58.0,64372.879211397434,7.323569418581945,2018-04-09,48815.97
1023,Employee_23,engineering,56.0,120464.29322084984,,14/04/2018,57879.38
1024,Employee_24,engineering,44.0,96287.43200529352,7.267466998587022,04-18-2018,31116.0
1025,Employee_25,engineering,27.0,82942.95808422536,7.581782696774329,2018-04-23,46097.16
1026,Employee_26,Finance,25.0,68399.18970530147,5.52785959783239,28/04/2018,16305.77
1027,Employee_27,Sales,39.0,67851.95760646305,6.823347818507104,05-03-2018,60680.65
1028,Employee_28,Marketing,30.0,53006.39278304403,4.107308139458575,07/05/2018,21327.53
1029,Employee_29,Marketing,50.0,70226.95786836321,4.594314018263597,05-12-2018,29348.78
1030,Employee_30,Sales,34.0,27151.151512262433,2.141946502231035,05-17-2018,31034.36
1031,Employee_31,marketing,38.0,57241.44514264336,4.5343270086323955,2018-05-21,17105.94
1032,Employee_32,Sales,53.0,62537.68016176803,8.705726731322864,05-26-2018,40488.63
1033,Employee_33,sales,43.0,70241.50655890859,,31/05/2018,43208.56
1034,Employee_34,support,25.0,35178.309395491306,5.053611491408768,06-04-2018,37158.79
1035,Employee_35,Support,26.0,26966.819788432756,,06-09-2018,16896.29
1036,Employee_36,Finance,58.0,66871.17802129817,4.942097956559867,2018-06-14,69750.79
1037,Employee_37,Engg,34.0,76494.97190703734,5.579289283879897,06-19-2018,48238.46
1038,Employee_38,Sales,55.0,53211.55999924564,4.860404190154769,06-23-2018,79513.33
1039,Employee_39,hr,43.0,49920.158544425154,7.630505224745949,28/06/2018,27923.36
1040,Employee_40,Engg,44.0,74170.25945757666,7.509480154153183,2018-07-03,54368.23
1041,Employee_41,Sales,,,3.1090198739826107,2018-07-07,51689.11
1042,Employee_42,engineering,55.0,88113.43327962658,4.881183168454646,2018-07-12,35641.37
1043,Employee_43,SALES,53.0,67965.5184280642,6.736989104811843,07-17-2018,61165.76
1044,Employee_44,Support,42.0,22861.137116446876,6.5822323948454144,2018-07-21,
1045,Employee_45,Engineering,42.0,77793.69395345531,4.708318284942872,07-26-2018,34586.63
1046,Employee_46,HR,32.0,56200.03170377747,6.280098492320159,07-31-2018,-12071.45
1047,Employee_47,Engineering,25.0,80410.67315009682,3.785417319926918,04/08/2018,46135.42
1048,Employee_48,marketing,22.0,58025.57210340365,3.6020848267766636,09/08/2018,20117.35
1049,Employee_49,Marketing,49.0,60008.3894106861,8.168496504908706,14/08/2018,31739.18
1050,Employee_50,SALES,45.0,56899.07177144041,3.3588487777326153,19/08/2018,24606.71
1051,Employee_51,Support,56.0,,9.086388784992124,23/08/2018,34506.53
1052,Employee_52,Finance,34.0,71791.43876166973,7.177299037156099,08-28-2018,46658.2
1053,Employee_53,Support,55.0,35609.47553718624,,09-02-2018,
1054,Employee_54,finance,32.0,78091.3656249613,7.2677712824897105,2018-09-06,50644.62
1055,Employee_55,Marketing,57.0,58621.871766203716,5.552065056308741,09-11-2018,58984.44
1056,Employee_56,support,38.0,46860.43948314623,,09-16-2018,34468.06
1057,Employee_57,Sales,56.0,85839.12207628401,7.258611072137488,20/09/2018,32821.49
1058,Employee_58,Sales,39.0,41714.74654479974,6.165347241900706,09-25-2018,54365.91
1059,Employee_59,SALES,43.0,71662.98722848346,6.782619571061099,30/09/2018,55555.71
1060,Employee_60,Engineering,45.0,58087.783715407524,2.978866911117774,2018-10-05,51108.86
1061,Employee_61,engineering,40.0,65059.48014097268,3.4471150826559995,2018-10-09,25717.32
1062,Employee_62,Engg,58.0,75112.31906774915,3.7792073904487022,10-14-2018,46339.83
1063,Employee_63,Finance,42.0,55869.65961670077,6.7498340787365025,2018-10-19,41642.06
1064,Employee_64,Engg,29.0,92444.42157766619,5.196051160194662,10-23-2018,55787.93
1065,Employee_65,Engineering,49.0,93478.10717002161,3.3057506168737905,2018-10-28,31406.92
1066,Employee_66,Marketing,26.0,56942.14477953163,6.442365237749789,02/11/2018,15000.85
1067,Employee_67,Sales,38.0,53201.46439885046,8.181849563826896,06/11/2018,50353.55
1068,Employee_68,finance,58.0,76333.17713117992,7.476283640325287,11/11/2018,1624.47
1069,Employee_69,sales,57.0,,5.594948978739877,16/11/2018,29027.3
1070,Employee_70,Support,40.0,29081.53180668289,2.823859016941511,11-20-2018,24652.07
1071,Employee_71,Finance,48.0,65657.30834520396,5.581463262223933,2018-11-25,24550.98
1072,Employee_72,Sales,55.0,54164.92212504388,5.719410289107128,11-30-2018,28764.53
1073,Employee_73,sales,32.0,60823.79195872544,4.837390182465623,05/12/2018,58260.6
1074,Employee_74,Finance,33.0,60727.99429271835,6.362955667999724,12-09-2018,52308.33
1075,Employee_75,hr,42.0,48929.34589287596,8.716407045889508,2018-12-14,36224.04
1076,Employee_76,HR,32.0,50359.803614325894,6.351414256903721,12-19-2018,57004.35
1077,Employee_77,Finance,49.0,61546.35875848564,5.818032248422551,2018-12-23,24065.54
1078,Employee_78,Sales,26.0,46260.21820062537,4.157168836780534,12-28-2018,22025.75
1079,Employee_79,Engineering,38.0,,8.15536952117296,2019-01-02,52953.95
1080,Employee_80,sales,41.0,53435.858248153505,5.80907666219265,2019-01-06,48694.65
1081,Employee_81,Finance,33.0,76005.7302330476,5.4318416288611235,11/01/2019,33096.05
1082,Employee_82,Marketing,27.0,47360.89535226005,5.4635773580904266,2019-01-16,22968.09
1083,Employee_83,engineering,38.0,85791.82166545455,6.497533083142642,21/01/2019,61895.98
1084,Employee_84,SALES,40.0,52249.4073813569,6.071293482035199,25/01/2019,14198.46
1085,Employee_85,Engg,47.0,99766.36689748327,8.297548438380051,30/01/2019,31023.61
1086,Employee_86,engineering,53.0,78715.03470518517,6.011709064079552,02-04-2019,43428.65
1087,Employee_87,hr,27.0,52815.824061861036,5.7148784867692495,02-08-2019,67032.47
1088,Employee_88,marketing,57.0,63033.06609045464,6.753441629013067,02-13-2019,45746.5
1089,Employee_89,finance,59.0,89756.76691215968,7.73729399729692,02-18-2019,47204.57
1090,Employee_90,engineering,32.0,77914.92762832486,3.4511825025204805,2019-02-22,31459.24
1091,Employee_91,SALES,54.0,47113.20018259007,7.329789601525076,2019-02-27,48527.2
1092,Employee_92,Human Resources,45.0,38751.73181332015,4.986230561623969,03-04-2019,41579.64
1093,Employee_93,finance,44.0,49962.6499351792,4.585147661500815,2019-03-08,16173.03
1094,Employee_94,marketing,36.0,81176.24321115263,8.185876141171551,2019-03-13,51894.02
1095,Employee_95,Finance,48.0,55101.98522861053,6.375847097819898,18/03/2019,54555.9
1096,Employee_96,engineering,32.0,80204.33509134185,4.458969236267965,23/03/2019,52050.48
1097,Employee_97,marketing,38.0,75789.19809938592,7.993812332187825,27/03/2019,40499.92
1098,Employee_98,Engineering,35.0,68962.71543674142,4.107463544602785,01/04/2019,25657.35
1099,Employee_99,sales,48.0,64076.218831448576,9.183170511620412,2019-04-06,5362.24
1100,Employee_100,sales,39.0,,3.909894420896288,04-10-2019,42355.8
1101,Employee_101,SALES,49.0,69960.33683835504,7.107233034476597,2019-04-15,56229.13
1102,Employee_102,Marketing,25.0,33961.4677555097,,2019-04-20,
1103,Employee_103,Engineering,28.0,68958.36700499205,8.281961793952215,2019-04-24,52241.09
1104,Employee_104,marketing,56.0,53460.9331804931,3.816315242893981,29/04/2019,38886.84
1105,Employee_105,Support,30.0,56661.87228207283,7.369637734983007,04/05/2019,56311.96
1106,Employee_106,SALES,29.0,54628.50099236112,4.879059427901357,09/05/2019,53862.43
1107,Employee_107,Engg,,85971.41912536115,5.267409494096077,05-13-2019,33660.5
1108,Employee_108,Finance,38.0,86152.5304895766,7.487933275096594,2019-05-18,
1109,Employee_109,Sales,54.0,80862.87446119687,9.130020379499058,05-23-2019,31960.61
1110,Employee_110,Sales,53.0,63067.087412965266,8.838449214096832,27/05/2019,48100.36
1111,Employee_111,engineering,29.0,82525.7459627846,3.3208653580997494,06-01-2019,20513.25
1112,Employee_112,sales,40.0,49982.283591888736,6.15074101614113,2019-06-06,21666.82
1113,Employee_113,Support,59.0,29538.631442912105,7.416171977220888,2019-06-10,55873.11
1114,Employee_114,Finance,24.0,71209.80906704863,3.532524045209521,15/06/2019,54063.4
1115,Employee_115,Marketing,26.0,40444.88416828407,5.493819449496475,20/06/2019,49504.17
1116,Employee_116,finance,34.0,76622.36386371401,6.327992497055424,06-24-2019,41319.53
1117,Employee_117,finance,52.0,,7.825157148953655,29/06/2019,4130.88
1118,Employee_118,sales,37.0,63611.0989575166,5.272098909886117,04/07/2019,38876.86
1119,Employee_119,finance,53.0,64370.227357660784,3.5650831255628788,2019-07-09,46812.75
1120,Employee_120,marketing,43.0,66323.24895158148,3.446502809810537,13/07/2019,31979.0
1121,Employee_121,finance,50.0,89446.40134199052,8.43689599729268,18/07/2019,29312.59
